borough,neighborhood,sqft,bedrooms,bathrooms,floor,age,has_garage,has_elevator,has_doorman,subway_dist,price
Bronx,South Bronx,956,0,4,26,69,0,1,1,1.49,835568
Staten Island,New Dorp,1559,0,1,12,22,1,1,1,1.02,948299
Queens,Astoria,3487,1,2,7,45,0,0,0,0.32,2481737
Staten Island,New Dorp,1756,4,4,46,43,1,0,0,1.06,1080000
Staten Island,Annadale,2456,4,1,47,47,0,0,1,0.6,1971183
Brooklyn,Park Slope,2781,3,4,15,51,1,0,0,1.73,2082975
Queens,Jackson Heights,1416,0,4,38,7,1,1,1,0.97,1126543
Queens,Forest Hills,2774,3,2,21,54,1,1,0,0.45,1413870
Queens,Forest Hills,2462,0,3,14,65,0,1,0,0.94,1720405
Staten Island,Stapleton,1238,1,3,2,76,1,1,0,0.64,779636
Bronx,South Bronx,2037,4,1,8,39,1,1,1,2.01,968669
Queens,Jamaica,625,4,1,45,84,0,1,1,2.46,651088
Staten Island,Tottenville,2213,1,1,6,30,0,1,1,0.16,1656634
Brooklyn,Bushwick,2560,3,2,37,47,1,1,0,1.76,2271278
Bronx,Fordham,2420,3,3,37,99,1,1,1,0.73,1758915
Brooklyn,Flatbush,1851,2,1,33,60,1,0,1,0.26,1514850
Bronx,Riverdale,2448,0,1,41,51,1,1,1,0.13,1418890
Staten Island,Great Kills,2713,3,4,6,37,1,0,1,2.21,1391699
Manhattan,Midtown,1914,1,4,26,90,0,0,0,0.95,1757991
Bronx,Norwood,1631,3,1,39,35,1,0,1,2.49,1361637
Brooklyn,Bushwick,2045,4,4,41,86,0,0,1,1.16,1974938
Staten Island,Tottenville,2135,0,4,37,54,0,1,0,0.55,1688895
Bronx,Fordham,3399,5,4,14,84,1,0,1,1.97,1825942
Manhattan,Upper East Side,705,2,2,37,12,0,0,0,2.32,1849508
Manhattan,Financial District,2459,0,1,8,36,1,1,0,2.06,2616543
Queens,Long Island City,2123,4,1,39,46,0,0,0,1.89,1418895
Queens,Forest Hills,2089,4,4,13,89,0,1,1,0.9,1273420
Brooklyn,DUMBO,1917,4,2,13,70,1,1,0,0.25,1597819
Bronx,Fordham,1791,4,4,40,21,1,1,0,0.58,1123462
Bronx,Fordham,3384,1,2,43,38,0,1,0,1.17,2477516
Queens,Forest Hills,819,2,1,28,86,1,0,1,2.39,860222
Bronx,South Bronx,3336,5,4,18,57,1,1,0,1.83,2080833
Bronx,Mott Haven,2618,4,1,19,29,0,0,0,2.09,1575851
Manhattan,Upper East Side,533,4,2,38,17,0,0,0,0.77,1575988
Queens,Forest Hills,2430,3,3,32,17,0,1,1,1.74,1395400
Staten Island,Stapleton,3412,2,2,22,73,1,0,0,2.17,2486362
Queens,Forest Hills,1850,0,3,2,38,1,1,0,1.25,1062539
Staten Island,Great Kills,3496,2,1,13,93,1,0,1,1.13,2083153
Manhattan,Harlem,1953,2,1,23,25,0,0,1,1.83,2371990
Brooklyn,Flatbush,1564,5,4,25,70,1,0,1,1.44,1417064
Bronx,Norwood,2269,2,3,28,6,0,0,0,2.48,1826187
Manhattan,Harlem,2219,5,2,11,68,0,1,0,1.12,2087753
Bronx,Fordham,3105,4,1,33,64,0,1,0,0.52,1895495
Brooklyn,Williamsburg,1742,4,3,24,45,0,0,0,1.23,1534080
Brooklyn,Bay Ridge,1864,1,2,2,17,0,0,1,0.66,1531599
Manhattan,Chelsea,2626,5,3,30,12,0,0,0,1.45,2089544
Brooklyn,Park Slope,1479,5,2,17,24,0,0,1,0.4,1741567
Staten Island,Tottenville,1578,0,2,40,7,1,1,0,2.38,1268315
Brooklyn,Bushwick,2095,3,2,34,73,0,0,0,2.16,1270586
Bronx,Norwood,510,2,2,38,31,1,0,0,0.47,775311
Bronx,Fordham,2584,0,3,22,16,1,0,1,0.51,1792261
Bronx,Pelham Bay,2679,5,3,5,78,1,1,1,1.33,1577670
Bronx,Fordham,3439,0,4,48,78,1,0,1,1.95,1337814
Staten Island,New Dorp,867,1,3,40,47,1,1,1,0.63,904793
Queens,Flushing,3179,3,3,16,62,0,1,0,0.25,1348344
Manhattan,Chelsea,2928,5,4,13,39,1,0,0,1.41,2497519
Bronx,Norwood,1213,5,3,26,83,1,0,0,1.76,1286869
Brooklyn,Flatbush,1672,2,2,31,14,1,0,0,0.69,1227093
Bronx,South Bronx,1393,3,1,39,98,0,1,0,1.88,819597
Brooklyn,Flatbush,2431,1,1,48,5,1,1,1,2.38,2205345
Brooklyn,DUMBO,722,4,4,23,93,1,0,1,0.43,1102884
Bronx,Pelham Bay,3369,0,3,48,62,1,1,0,1.33,1031291
Staten Island,Stapleton,1303,2,3,12,7,1,0,0,0.24,1157964
Brooklyn,Flatbush,1941,5,4,14,94,0,0,0,0.6,1794461
Brooklyn,Bay Ridge,2399,4,1,18,31,1,0,0,0.32,1986990
Bronx,Norwood,2215,1,2,27,44,0,0,1,1.07,1566693
Brooklyn,Flatbush,3053,3,3,28,51,0,0,0,2.07,1812551
Brooklyn,Flatbush,2876,0,4,18,78,1,0,0,1.49,2310881
Bronx,Riverdale,547,2,2,16,81,1,1,0,0.63,481470
Bronx,South Bronx,1541,5,4,16,12,0,1,0,0.2,1042324
Manhattan,Upper East Side,1249,5,4,13,23,1,1,1,1.43,1744636
Staten Island,Annadale,766,4,4,29,39,1,0,0,0.42,904299
Staten Island,Great Kills,3297,4,1,9,13,1,0,1,0.92,1739103
Brooklyn,DUMBO,1489,0,1,26,91,0,0,1,1.32,1299292
Staten Island,New Dorp,2438,3,4,28,74,0,1,0,2.27,1522817
Brooklyn,Bay Ridge,3260,1,3,41,69,1,0,0,0.3,1898754
Manhattan,Upper East Side,574,3,2,13,61,1,1,0,1.7,1533360
Bronx,Mott Haven,2254,3,3,36,88,0,0,0,0.13,1566062
Bronx,Riverdale,987,3,1,9,60,0,1,0,1.61,705636
Bronx,Mott Haven,894,0,2,47,0,0,0,1,1.42,792344
Staten Island,New Dorp,3420,0,4,14,88,0,0,1,2.05,1521645
Manhattan,Upper East Side,1537,1,3,12,65,0,1,1,1.38,1586124
Staten Island,Tottenville,2184,3,3,32,31,0,1,1,0.95,1659469
Staten Island,New Dorp,1570,0,4,38,12,0,1,1,0.68,958057
